service_id,category,name,subtitle,description,target_axis,expected_improvement,target_stage,duration_weeks,price_base,price_urgent,price_package,provider,format,deliverables,process_steps,portfolio_count,avg_rating,review_count,completion_rate,status
SRV-001,문서작업,IR 피칭덱 전문 컨설팅,투자유치를 위한 완벽한 IR덱 제작,"투자자 관점에서 스타트업의 가치를 효과적으로 전달하는 IR 피칭덱을 제작합니다. 비즈니스 모델, 시장 분석, 재무 계획까지 포함된 20-30장의 프레젠테이션을 제공합니다.",PF,20,A2|A3|A4,2,3000000,4500000,2700000,포켓,hybrid,"IR덱 PPT|피치 스크립트|Q&A 예상문답|투자자 리스트","비즈니스 분석(3일)|콘텐츠 기획(2일)|디자인 작업(5일)|피드백 반영(4일)",127,4.8,89,95,active
SRV-002,문서작업,사업계획서 작성,정부지원사업 선정을 위한 맞춤형 사업계획서,"TIPS, 창업지원사업 등 정부 과제 선정을 위한 사업계획서를 작성합니다. 심사위원 관점에서 높은 점수를 받을 수 있는 구성과 내용으로 작성합니다.",GO|PF,15,A1|A2|A3,3,2500000,3750000,2250000,포켓,online,"사업계획서 HWP/PDF|발표자료 PPT|예산계획서|사업화 로드맵","현황 분석(1주)|계획 수립(1주)|문서 작성(1주)|검토 및 수정(3일)",95,4.7,72,92,active
SRV-003,문서작업,BM 캔버스 + 9블록 설계,체계적인 비즈니스 모델 정립,"비즈니스 모델 캔버스와 9블록 프레임워크를 활용하여 사업 모델을 체계화합니다. 수익모델, 고객 세그먼트, 핵심 가치 등을 명확히 정의합니다.",GO|EC,18,A1|A2,2,1800000,2700000,1620000,포켓,hybrid,"BM 캔버스|9블록 분석서|경쟁사 분석|수익모델 시뮬레이션","인터뷰(2일)|분석(3일)|모델링(3일)|검증(2일)",83,4.9,61,94,active
SRV-004,문서작업,R&D 과제 제안서,기술개발 과제 선정을 위한 전문 제안서,"중기부, 과기부 등 R&D 과제 제안서를 작성합니다. 기술성, 사업성, 연구개발 계획을 체계적으로 구성하여 선정 가능성을 높입니다.",PT|GO,22,A2|A3|A4,4,4000000,6000000,3600000,포켓,hybrid,"R&D 제안서|기술로드맵|연구개발 계획서|예산 산출서","기술 분석(1주)|제안서 작성(2주)|전문가 검토(1주)",68,4.6,54,88,active
SRV-005,개발,MVP 개발 패키지,아이디어를 제품으로 구현하는 MVP 개발,"핵심 기능 중심의 MVP를 개발하여 시장 검증을 빠르게 진행할 수 있도록 지원합니다. 웹/앱 기반의 프로토타입을 4-8주 내 완성합니다.",PT,25,A1|A2|A3,8,12000000,18000000,10800000,포켓,hybrid,"MVP 제품|소스코드|기술문서|배포 가이드","기획(2주)|디자인(2주)|개발(3주)|테스트(1주)",42,4.7,38,90,active
SRV-006,개발,랜딩페이지 제작,전환율 높은 마케팅 랜딩페이지,"제품/서비스를 효과적으로 소개하는 반응형 랜딩페이지를 제작합니다. SEO 최적화와 전환 추적 코드를 포함합니다.",EC|PF,12,A1|A2|A3|A4,2,2000000,3000000,1800000,포켓,online,"랜딩페이지|모바일 최적화|SEO 설정|애널리틱스 연동","기획(2일)|디자인(3일)|퍼블리싱(3일)|최적화(2일)",156,4.8,112,96,active
SRV-007,개발,웹사이트 풀스택 개발,기업 홈페이지 및 서비스 사이트 구축,"회사 소개, 제품/서비스, 고객지원 등 전체 웹사이트를 구축합니다. CMS 기능과 관리자 페이지를 포함합니다.",EC|PT,20,A2|A3|A4,6,8000000,12000000,7200000,포켓,hybrid,"웹사이트|관리자 페이지|CMS|호스팅 설정","기획(1주)|디자인(2주)|개발(2주)|배포(1주)",89,4.7,76,91,active
SRV-008,개발,모바일 앱 개발,iOS/Android 네이티브 앱 개발,"React Native 또는 Flutter를 활용한 크로스 플랫폼 앱을 개발합니다. 앱스토어 등록까지 지원합니다.",PT,28,A2|A3|A4,10,15000000,22500000,13500000,포켓,hybrid,"iOS 앱|Android 앱|앱스토어 등록|운영 가이드","기획(2주)|디자인(2주)|개발(4주)|스토어 등록(2주)",35,4.6,31,87,active
SRV-009,마케팅,디지털 마케팅 전략 수립,데이터 기반 통합 마케팅 전략,"타겟 고객 분석부터 채널별 전략, KPI 설정까지 통합 디지털 마케팅 전략을 수립합니다.",EC|PF,18,A2|A3|A4,3,3500000,5250000,3150000,포켓,online,"마케팅 전략서|채널별 실행안|KPI 대시보드|예산 계획","시장 분석(1주)|전략 수립(1주)|실행 계획(1주)",74,4.8,62,93,active
SRV-010,마케팅,브랜드 아이덴티티 구축,차별화된 브랜드 정체성 확립,"브랜드 네이밍, 로고, 컬러 시스템, 브랜드 가이드라인을 개발하여 일관된 브랜드 경험을 제공합니다.",EC,15,A1|A2|A3,4,4500000,6750000,4050000,포켓,hybrid,"브랜드 네이밍|로고 디자인|브랜드 가이드|적용 템플릿","리서치(1주)|컨셉 개발(1주)|디자인(1주)|가이드 제작(1주)",93,4.9,78,94,active
